title,price,rating,reviews
"Red Lemon Unisex-adult Bange Series Rhombus Shell Design Waterproof Sling Bag with USB Charging (Black), Black",,4.2 out of 5 stars,45 ratings
"uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty, Black, M, Casual",,Previous page of related Sponsored Products,
Wesley Milestone 2.0 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Blue and Black),$76.00,4.3 out of 5 stars,"5,617 ratings"
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),,3.8 out of 5 stars,551 ratings
"Fur Jaden Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls, Grey, L, Anti Theft Backpack with Number Lock",,3.9 out of 5 stars,"3,069 ratings"
"Half Moon 35 L Waterproof Laptop College School Office Bag Backpack for Men Women Boys Girls with 15.6 inch Padded Laptop Compartment & Rain Cover (Navy_Blue), Navy Blue, M, backpack",,3.9 out of 5 stars,"14,751 ratings"
Lavie Sport Lino Large Size 63 cms Wheel Duffel Bag for Travel | Luggage Bag | Travel Bag (Black),$98.00,3.9 out of 5 stars,"2,724 ratings"
"Chris & Kate Grey Khadi Water Resistant Polyester Backpack for School | College | Office Use With Laptop Compartment, Blue, M, Casual",,Previous page of related Sponsored Products,
MOKOBARA Unisex-Adult Backpack Pink Vegan Leather Water Resistant 15Laptop Bag School College And Work Backpack For Women And Kids 16L 2022 - Model Medium Modern Love,,4.3 out of 5 stars,74 ratings
Gear Adult Casual Backpack One Size Black And Blue,,3.7 out of 5 stars,"5,967 ratings"
"Kuber Industries Handcrafted Embroidered Clutch Bag Purse Handbag for Bridal, Casual, Party, (Cream) - CTKTC34515",,3.8 out of 5 stars,471 ratings
SAFARI 15 Ltrs Sea Blue Casual Backpack (DAYPACKNEO15CBSEB),,4.0 out of 5 stars,"17,650 ratings"
"Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty, Black, L, casual backpack",$88.00,3.9 out of 5 stars,"3,693 ratings"
"Wesley Milestone 15.6 inch Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (30 litres, 2 Main & 1 Small Compartment, Grey and Black)",,4.2 out of 5 stars,"4,063 ratings"
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment, Black Grey, L, backpacks",,4.2 out of 5 stars,"4,861 ratings"
"Half Moon Strike 35L Unisex Spacious School/ Laptop/ College/ Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets, Black, Mid Size, school bag",,Previous page of related Sponsored Products,
Artistix Avian Anti Theft Travel Backpack Water Repellent 32 Litres with USB Port Unisex,$115.00,4.5 out of 5 stars,638 ratings
"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Black), Black, M, Casual",,4.7 out of 5 stars,
